Date,Name,Type_content,type event,host/colab/featuring,Location,Social Media post Official,registration_page,RVSP,Protocol to mint,NFT URL,CHAIN NFT,Mints NFT,POAP LINK,Collectors POAP,Chain POAP,Recap Social Media,Registro Fotografico,Carpeta del Evento,Youtube Recording
23/10/2023,Python Day Cali,Event,Attendees,Universidad UAO: https://www.uao.edu.co/ ,Universidad UAO: https://maps.app.goo.gl/oZjghE9Z3Zsk6i9H8 ,https://www.instagram.com/p/CxQ6VF8P8qW/,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/CzHoOyeJYkJ/?img_index=1,https://drive.google.com/drive/folders/1eRelSivzYXTEilop8_wH-ELQ7BfFcqIL?usp=drive_link,2023 10 23 Pyday Cali,
03/11/2023,Data DAY UAO,Conference,own,Universidad UAO: https://www.uao.edu.co/ ,Universidad UAO: https://maps.app.goo.gl/oZjghE9Z3Zsk6i9H8 ,https://www.instagram.com/p/CzG11AwulFX/,NA,NA,POAP,NA,NA,NA,https://poap.gallery/drops/157654 ,3,Gnosis,NA,https://drive.google.com/drive/u/0/folders/14h0toD0bKKLctzMYAywn-R0H2N_B7g3l,2023-11-3 DataDay en UAO,
04/11/2023,Ramada Cafe Opening,Meetup,Colab,Ramada Cafe: https://www.instagram.com/ramadacafeco/ ,Ramada Cafe: https://maps.app.goo.gl/RCNYuJLKH1kLJo5TA,,https://app.unlock-protocol.com/event/inauguracion-ramada-cafe-cripto-cafe,15,Unlock Protocol + POAP,https://polygonscan.com/token/0xc67db733d754753ca19a3502f36756e9e4141cbd,Polygon,15,https://poap.gallery/drops/157665 ,0,Gnosis,https://www.instagram.com/p/Czg86JCgC67/?img_index=1,https://drive.google.com/drive/u/0/folders/1xlhB1tegcO7aDgvaM9PrQfl0DetN2oRH,2023-11-04 Inauguracion Ramada Cafe,
18/11/2023,Taller Programación de Contratos Inteligentes con Solidity - ICESI,Workshop,Colab,Universidad ICESI: https://www.icesi.edu.co ,Universidad ICESI: https://maps.app.goo.gl/fSBzBAzGZXsGWB1S8,,https://app.unlock-protocol.com/event/taller-programacion-de-contratos-inteligentes-icesi,20,Unlock Protocol + POAP,https://polygonscan.com/token/0x2296e9d389a8c7dc2598d197e9fe43ea12052883,Polygon,22,https://poap.gallery/drops/159246 ,16,Gnosis,https://www.instagram.com/p/Cz16mJrA9Jx/?img_index=3,https://drive.google.com/drive/u/0/folders/1cGrpV8CnGFqD9lNUoKfwePD4TODS_-2d,2023 11 18 Taller Programacion Solidity ICESI,
16/12/2023,Proof-of-Stake en Ramada Cafe,Meetup,own,NA,Ramada Cafe: https://maps.app.goo.gl/RCNYuJLKH1kLJo5TA,https://www.instagram.com/p/C05AkIGujWE/?img_index=1,https://app.unlock-protocol.com/event/proof-of-stake,7,Unlock Protocol,https://optimistic.etherscan.io/token/0x9eb1dc77ac01b823f94c25ea054650930a3b7050,Optimism,7,NA,NA,NA,https://x.com/ethereum_cali/status/1736768163197370438,https://drive.google.com/drive/folders/1nIhSDzVMgAdJktLPDtEXceaXf59a8c5n?usp=drive_link,2023-12-16 Proof-of-Stake en Ramada Cafe,
27/11/2023,Hackathon WEB3 Ethcolombia,Hackathon,Ethcolombia,Ramada Cafe: https://www.instagram.com/ramadacafeco/ ,Ramada Cafe: https://www.instagram.com/ramadacafeco/ ,https://www.instagram.com/p/C0MsMz6g4So/?img_index=1,NA,NA,NA,NA,NA,NA,,,,https://www.instagram.com/p/C0wee_lssGZ/?img_index=1,https://drive.google.com/drive/u/5/folders/1sRj-6rS-5fdaLZxASRXSgu8c68uFDQCT,2023 27 11 Hackathon WEB3 EthColombia,
09/03/2024,QF ETHColombia Meetup Cali,Meetup,own,NA,Torre de Cali: https://maps.app.goo.gl/7uNBMMA1QKg2d8EC8 ,https://www.instagram.com/p/C4OIs15uahf/?img_index=1,https://www.meetup.com/ethereumcali/events/299455403/?loginProvider=google,17,Unlock Protocol,https://optimistic.etherscan.io/token/0xfc78b9ee7348d4184f85ba8a3a0350216ae950b0,Optimism,1,NA,NA,NA, https://www.instagram.com/p/C4izdNOAX91/ + https://x.com/ethereum_cali/status/1768756233689874479/photo/1 ,https://drive.google.com/drive/folders/10ESbRUvHUkHIpsYIDTRXttsn4RMUlEtx?usp=drive_link,2024 03 24 - QF ETHColombia Meetup ,
22/05/2024,Road to Drumcode: Global Pizza Party 2024,Meetup,Colab,Enefty: instagram.com/enefty.co/ ,Albahaca Terraza:  https://maps.app.goo.gl/ptjQG1A1RoE6TmHX8 ,https://www.instagram.com/p/C7P64PON19F/ ,NA,20,NA,NA,NA,NA,NA,NA,NA,https://x.com/ethereum_cali/status/1793828622479819116,https://drive.google.com/drive/folders/1uhaSbg878q2B21_F3YUkhQVM61vjE9md?usp=drive_link,2024 06 21 Global Pizza Party # 2,
25/05/2024,Road to Drumcode: Discoteca 1060,Meetup,Colab,Alibmusic: instagram.com/alib.music ,Discoteca 1060: https://maps.app.goo.gl/ojibHKVdbmaRtACy6 , https://www.instagram.com/p/C7XKBCoAbJI/,https://app.unlock-protocol.com/event/drumcode-discoteca-1060-1,12,Unlock Protocol,https://basescan.org/token/0x8dB8003c692d68dD20722EDA6FC4de8708Cd5ED6,Base,12,NA,NA,NA,https://www.instagram.com/p/C7cueOyMYb7/,https://drive.google.com/drive/folders/1-gktBqr3xVHhPA2owdxa2bhoiShYwErq,2024 05 25 Road to Drumcode - Discoteca 1060,
01/06/2024,Road to Drumcode: Pizzicleta,Meetup,Colab,Alibmusic: instagram.com/alib.music ,Pizzicleta.com : https://maps.app.goo.gl/FzvEwz9wSMGn2Yqn6   , https://www.instagram.com/p/C7mPwePsFNI/,NA,10,NA,NA,NA,NA,NA,NA,NA,https://www.instagram.com/p/C7zag1hvZ_e/ ,https://drive.google.com/drive/folders/1-kl5ktJkycK99l0vg6LRaWYupx-nbou9?usp=drive_link,2024 06 01 Road to Drumcode - Pizzicleta,
